Top Speed, Age, Security Rating, Efficiency Rating, Price
109.0,3.0,6.0,8.0,5770.0
86.0,3.0,8.0,5.0,5080.0
96.0,4.0,10.0,8.0,5380.0
116.0,6.0,9.0,7.0,5980.0
95.0,4.0,10.0,5.0,5350.0
100.0,5.0,8.0,0.0,5500.0
98.0,6.0,4.0,9.0,5440.0
90.0,2.0,7.0,6.0,5200.0
101.0,5.0,4.0,5.0,5530.0
126.0,5.0,8.0,6.0,6280.0
104.0,7.0,7.0,6.0,5620.0
88.0,4.0,4.0,2.0,5140.0
88.0,3.0,9.0,10.0,5140.0
90.0,7.0,8.0,4.0,5200.0
97.0,6.0,8.0,10.0,5410.0
92.0,4.0,9.0,10.0,5260.0
101.0,5.0,8.0,2.0,5530.0
96.0,4.0,7.0,3.0,5380.0
101.0,3.0,5.0,10.0,5530.0
95.0,5.0,5.0,6.0,5350.0
91.0,4.0,3.0,10.0,5230.0
95.0,2.0,7.0,10.0,5350.0
110.0,2.0,6.0,3.0,5800.0
101.0,2.0,3.0,10.0,5530.0
102.0,6.0,7.0,7.0,5560.0
108.0,5.0,9.0,3.0,5740.0
99.0,3.0,6.0,6.0,5470.0
113.0,4.0,7.0,2.0,5890.0
98.0,5.0,4.0,2.0,5440.0
99.0,6.0,5.0,10.0,5470.0
90.0,5.0,7.0,0.0,5200.0
89.0,2.0,6.0,4.0,5170.0
109.0,3.0,7.0,7.0,5770.0
90.0,2.0,4.0,5.0,5200.0
87.0,6.0,6.0,5.0,5110.0
101.0,6.0,7.0,10.0,5530.0
97.0,6.0,7.0,3.0,5410.0
96.0,3.0,6.0,5.0,5380.0
104.0,5.0,8.0,1.0,5620.0
102.0,6.0,4.0,4.0,5560.0
105.0,2.0,6.0,9.0,5650.0
80.0,2.0,5.0,6.0,4900.0
122.0,5.0,8.0,7.0,6160.0
92.0,6.0,7.0,5.0,5260.0
103.0,1.0,7.0,7.0,5590.0
112.0,3.0,3.0,10.0,5860.0
97.0,4.0,5.0,0.0,5410.0
109.0,2.0,4.0,3.0,5770.0
96.0,6.0,10.0,3.0,5380.0
102.0,4.0,5.0,8.0,5560.0
117.0,4.0,9.0,0.0,6010.0
86.0,2.0,3.0,4.0,5080.0
89.0,4.0,7.0,4.0,5170.0
98.0,6.0,7.0,3.0,5440.0
118.0,6.0,7.0,1.0,6040.0
107.0,3.0,6.0,2.0,5710.0
104.0,3.0,7.0,10.0,5620.0
105.0,2.0,9.0,5.0,5650.0
107.0,4.0,6.0,6.0,5710.0
95.0,2.0,10.0,8.0,5350.0
105.0,3.0,8.0,7.0,5650.0
101.0,5.0,6.0,0.0,5530.0
100.0,2.0,4.0,1.0,5500.0
102.0,6.0,8.0,5.0,5560.0
86.0,6.0,9.0,9.0,5080.0
93.0,3.0,8.0,5.0,5290.0
102.0,5.0,8.0,0.0,5560.0
90.0,2.0,4.0,9.0,5200.0
107.0,4.0,5.0,1.0,5710.0
97.0,4.0,3.0,4.0,5410.0
80.0,5.0,7.0,4.0,4900.0
101.0,4.0,5.0,1.0,5530.0
113.0,4.0,6.0,4.0,5890.0
102.0,5.0,8.0,5.0,5560.0
93.0,2.0,8.0,1.0,5290.0
93.0,7.0,10.0,7.0,5290.0
104.0,5.0,7.0,8.0,5620.0
