Top Speed, Age, Security Rating, Efficiency Rating, Price
109.0,3.0,6.0,8.0,2600.0
86.0,3.0,8.0,5.0,3000.0
96.0,4.0,10.0,8.0,3200.0
116.0,6.0,9.0,7.0,2600.0
95.0,4.0,10.0,5.0,3200.0
100.0,5.0,8.0,0.0,2600.0
98.0,6.0,4.0,9.0,1600.0
90.0,2.0,7.0,6.0,3000.0
101.0,5.0,4.0,5.0,1800.0
126.0,5.0,8.0,6.0,2600.0
104.0,7.0,7.0,6.0,2000.0
88.0,4.0,4.0,2.0,2000.0
88.0,3.0,9.0,10.0,3200.0
90.0,7.0,8.0,4.0,2200.0
97.0,6.0,8.0,10.0,2400.0
92.0,4.0,9.0,10.0,3000.0
101.0,5.0,8.0,2.0,2600.0
96.0,4.0,7.0,3.0,2600.0
101.0,3.0,5.0,10.0,2400.0
95.0,5.0,5.0,6.0,2000.0
91.0,4.0,3.0,10.0,1800.0
95.0,2.0,7.0,10.0,3000.0
110.0,2.0,6.0,3.0,2800.0
101.0,2.0,3.0,10.0,2200.0
102.0,6.0,7.0,7.0,2200.0
108.0,5.0,9.0,3.0,2800.0
99.0,3.0,6.0,6.0,2600.0
113.0,4.0,7.0,2.0,2600.0
98.0,5.0,4.0,2.0,1800.0
99.0,6.0,5.0,10.0,1800.0
90.0,5.0,7.0,0.0,2400.0
89.0,2.0,6.0,4.0,2800.0
109.0,3.0,7.0,7.0,2800.0
90.0,2.0,4.0,5.0,2400.0
87.0,6.0,6.0,5.0,2000.0
101.0,6.0,7.0,10.0,2200.0
97.0,6.0,7.0,3.0,2200.0
96.0,3.0,6.0,5.0,2600.0
104.0,5.0,8.0,1.0,2600.0
102.0,6.0,4.0,4.0,1600.0
105.0,2.0,6.0,9.0,2800.0
80.0,2.0,5.0,6.0,2600.0
122.0,5.0,8.0,7.0,2600.0
92.0,6.0,7.0,5.0,2200.0
103.0,1.0,7.0,7.0,3200.0
112.0,3.0,3.0,10.0,2000.0
97.0,4.0,5.0,0.0,2200.0
109.0,2.0,4.0,3.0,2400.0
96.0,6.0,10.0,3.0,2800.0
102.0,4.0,5.0,8.0,2200.0
117.0,4.0,9.0,0.0,3000.0
86.0,2.0,3.0,4.0,2200.0
89.0,4.0,7.0,4.0,2600.0
98.0,6.0,7.0,3.0,2200.0
118.0,6.0,7.0,1.0,2200.0
107.0,3.0,6.0,2.0,2600.0
104.0,3.0,7.0,10.0,2800.0
105.0,2.0,9.0,5.0,3400.0
107.0,4.0,6.0,6.0,2400.0
95.0,2.0,10.0,8.0,3600.0
105.0,3.0,8.0,7.0,3000.0
101.0,5.0,6.0,0.0,2200.0
100.0,2.0,4.0,1.0,2400.0
102.0,6.0,8.0,5.0,2400.0
86.0,6.0,9.0,9.0,2600.0
93.0,3.0,8.0,5.0,3000.0
102.0,5.0,8.0,0.0,2600.0
90.0,2.0,4.0,9.0,2400.0
107.0,4.0,5.0,1.0,2200.0
97.0,4.0,3.0,4.0,1800.0
80.0,5.0,7.0,4.0,2400.0
101.0,4.0,5.0,1.0,2200.0
113.0,4.0,6.0,4.0,2400.0
102.0,5.0,8.0,5.0,2600.0
93.0,2.0,8.0,1.0,3200.0
93.0,7.0,10.0,7.0,2600.0
104.0,5.0,7.0,8.0,2400.0
88.0,4.0,3.0,10.0,1800.0
78.0,7.0,6.0,1.0,1800.0
101.0,6.0,8.0,4.0,2400.0
98.0,4.0,10.0,4.0,3200.0
104.0,3.0,6.0,4.0,2600.0
99.0,7.0,6.0,0.0,1800.0
97.0,2.0,4.0,10.0,2400.0
101.0,5.0,6.0,10.0,2200.0
96.0,1.0,4.0,6.0,2600.0
104.0,2.0,7.0,10.0,3000.0
95.0,3.0,7.0,10.0,2800.0
95.0,6.0,5.0,9.0,1800.0
95.0,7.0,5.0,8.0,1600.0
97.0,1.0,3.0,0.0,2400.0
110.0,4.0,6.0,4.0,2400.0
97.0,3.0,7.0,4.0,2800.0
96.0,4.0,5.0,3.0,2200.0
75.0,5.0,7.0,8.0,2400.0
104.0,4.0,7.0,2.0,2600.0
77.0,2.0,7.0,2.0,3000.0
106.0,2.0,5.0,3.0,2600.0
101.0,4.0,7.0,7.0,2600.0
86.0,5.0,7.0,10.0,2400.0
115.0,1.0,7.0,4.0,3200.0
114.0,2.0,7.0,9.0,3000.0
97.0,5.0,6.0,2.0,2200.0
98.0,5.0,5.0,5.0,2000.0
87.0,4.0,7.0,8.0,2600.0
93.0,5.0,7.0,1.0,2400.0
96.0,4.0,7.0,5.0,2600.0
90.0,4.0,7.0,7.0,2600.0
107.0,4.0,5.0,5.0,2200.0
103.0,5.0,5.0,9.0,2000.0
93.0,4.0,5.0,10.0,2200.0
84.0,6.0,6.0,8.0,2000.0
98.0,3.0,5.0,9.0,2400.0
104.0,4.0,7.0,1.0,2600.0
109.0,5.0,7.0,2.0,2400.0
94.0,3.0,5.0,4.0,2400.0
100.0,2.0,6.0,6.0,2800.0
104.0,5.0,6.0,9.0,2200.0
93.0,5.0,10.0,10.0,3000.0
108.0,6.0,7.0,2.0,2200.0
99.0,1.0,6.0,8.0,3000.0
102.0,6.0,8.0,4.0,2400.0
97.0,7.0,6.0,3.0,1800.0
103.0,1.0,5.0,5.0,2800.0
102.0,5.0,7.0,2.0,2400.0
106.0,4.0,6.0,0.0,2400.0
84.0,2.0,8.0,1.0,3200.0
103.0,1.0,7.0,10.0,3200.0
96.0,4.0,6.0,1.0,2400.0
101.0,3.0,10.0,3.0,3400.0
88.0,3.0,4.0,4.0,2200.0
105.0,5.0,4.0,1.0,1800.0
100.0,5.0,7.0,7.0,2400.0
95.0,5.0,6.0,7.0,2200.0
112.0,4.0,8.0,2.0,2800.0
111.0,5.0,7.0,2.0,2400.0
94.0,3.0,6.0,6.0,2600.0
94.0,1.0,8.0,5.0,3400.0
115.0,6.0,8.0,2.0,2400.0
107.0,6.0,7.0,6.0,2200.0
85.0,3.0,6.0,5.0,2600.0
84.0,1.0,8.0,5.0,3400.0
110.0,4.0,6.0,7.0,2400.0
96.0,6.0,4.0,0.0,1600.0
96.0,3.0,8.0,2.0,3000.0
74.0,4.0,6.0,8.0,2400.0
101.0,4.0,4.0,7.0,2000.0
101.0,1.0,8.0,9.0,3400.0
102.0,3.0,8.0,8.0,3000.0
110.0,3.0,6.0,8.0,2600.0
95.0,3.0,6.0,0.0,2600.0
89.0,3.0,7.0,1.0,2800.0
90.0,5.0,6.0,1.0,2200.0
116.0,6.0,3.0,10.0,1400.0
88.0,3.0,6.0,8.0,2600.0
91.0,4.0,6.0,0.0,2400.0
98.0,2.0,7.0,2.0,3000.0
105.0,4.0,7.0,6.0,2600.0
117.0,4.0,7.0,7.0,2600.0
97.0,4.0,6.0,0.0,2400.0
94.0,5.0,6.0,5.0,2200.0
88.0,4.0,7.0,6.0,2600.0
87.0,6.0,8.0,3.0,2400.0
123.0,7.0,7.0,0.0,2000.0
105.0,6.0,6.0,8.0,2000.0
88.0,5.0,3.0,0.0,1600.0
116.0,6.0,10.0,8.0,2800.0
116.0,5.0,6.0,10.0,2200.0
102.0,4.0,5.0,8.0,2200.0
105.0,5.0,5.0,4.0,2000.0
115.0,6.0,9.0,2.0,2600.0
99.0,6.0,9.0,1.0,2600.0
87.0,4.0,9.0,4.0,3000.0
80.0,5.0,3.0,5.0,1600.0
114.0,5.0,7.0,2.0,2400.0
94.0,6.0,10.0,0.0,2800.0
84.0,4.0,9.0,10.0,3000.0
105.0,3.0,9.0,10.0,3200.0
99.0,6.0,3.0,0.0,1400.0
120.0,3.0,7.0,6.0,2800.0
84.0,2.0,6.0,7.0,2800.0
113.0,2.0,6.0,0.0,2800.0
91.0,1.0,5.0,0.0,2800.0
96.0,7.0,8.0,9.0,2200.0
116.0,3.0,6.0,3.0,2600.0
98.0,1.0,5.0,7.0,2800.0
100.0,5.0,8.0,6.0,2600.0
96.0,6.0,5.0,6.0,1800.0
102.0,3.0,5.0,10.0,2400.0
93.0,6.0,8.0,0.0,2400.0
87.0,2.0,6.0,7.0,2800.0
92.0,3.0,5.0,3.0,2400.0
93.0,4.0,7.0,8.0,2600.0
90.0,2.0,6.0,9.0,2800.0
70.0,5.0,4.0,8.0,1800.0
97.0,2.0,5.0,0.0,2600.0
96.0,2.0,7.0,9.0,3000.0
109.0,1.0,8.0,8.0,3400.0
93.0,5.0,6.0,2.0,2200.0
88.0,3.0,4.0,1.0,2200.0
89.0,1.0,8.0,5.0,3400.0
90.0,1.0,9.0,9.0,3600.0
98.0,3.0,8.0,5.0,3000.0
114.0,2.0,6.0,0.0,2800.0
95.0,4.0,7.0,7.0,2600.0
104.0,3.0,9.0,5.0,3200.0
111.0,1.0,4.0,2.0,2600.0
90.0,3.0,8.0,1.0,3000.0
98.0,5.0,7.0,10.0,2400.0
99.0,2.0,5.0,8.0,2600.0
110.0,6.0,4.0,4.0,1600.0
108.0,6.0,4.0,5.0,1600.0
96.0,4.0,8.0,4.0,2800.0
99.0,3.0,7.0,4.0,2800.0
83.0,7.0,4.0,6.0,1400.0
90.0,3.0,4.0,8.0,2200.0
104.0,5.0,5.0,4.0,2000.0
98.0,6.0,9.0,6.0,2600.0
104.0,4.0,8.0,5.0,2800.0
107.0,6.0,8.0,6.0,2400.0
100.0,6.0,6.0,6.0,2000.0
93.0,3.0,6.0,8.0,2600.0
96.0,4.0,6.0,0.0,2400.0
104.0,5.0,8.0,6.0,2600.0
103.0,3.0,7.0,9.0,2800.0
105.0,6.0,4.0,10.0,1600.0
106.0,7.0,6.0,3.0,1800.0
91.0,6.0,9.0,3.0,2600.0
122.0,4.0,8.0,10.0,2800.0
78.0,6.0,3.0,6.0,1400.0
93.0,4.0,6.0,7.0,2400.0
77.0,6.0,8.0,4.0,2400.0
100.0,7.0,5.0,4.0,1600.0
98.0,4.0,8.0,10.0,2800.0
82.0,3.0,7.0,9.0,2800.0
92.0,7.0,7.0,2.0,2000.0
97.0,1.0,8.0,6.0,3400.0
90.0,7.0,5.0,3.0,1600.0
88.0,3.0,8.0,7.0,3000.0
99.0,3.0,5.0,9.0,2400.0
102.0,1.0,8.0,6.0,3400.0
95.0,2.0,4.0,8.0,2400.0
112.0,5.0,5.0,9.0,2000.0
115.0,5.0,7.0,10.0,2400.0
81.0,2.0,3.0,9.0,2200.0
92.0,3.0,8.0,5.0,3000.0
97.0,4.0,5.0,8.0,2200.0
103.0,4.0,7.0,9.0,2600.0
93.0,3.0,6.0,5.0,2600.0
107.0,5.0,8.0,3.0,2600.0
86.0,7.0,6.0,4.0,1800.0
109.0,3.0,7.0,5.0,2800.0
107.0,3.0,10.0,6.0,3400.0
106.0,5.0,6.0,3.0,2200.0
98.0,4.0,7.0,10.0,2600.0
95.0,3.0,4.0,3.0,2200.0
113.0,3.0,4.0,0.0,2200.0
111.0,2.0,7.0,8.0,3000.0
100.0,7.0,3.0,2.0,1200.0
100.0,6.0,7.0,4.0,2200.0
101.0,3.0,9.0,7.0,3200.0
86.0,5.0,7.0,7.0,2400.0
97.0,5.0,6.0,7.0,2200.0
115.0,3.0,3.0,10.0,2000.0
115.0,4.0,6.0,4.0,2400.0
114.0,4.0,7.0,2.0,2600.0
76.0,2.0,4.0,8.0,2400.0
102.0,4.0,5.0,2.0,2200.0
96.0,5.0,8.0,0.0,2600.0
114.0,3.0,9.0,1.0,3200.0
119.0,6.0,7.0,4.0,2200.0
104.0,2.0,9.0,10.0,3400.0
111.0,5.0,7.0,7.0,2400.0
90.0,4.0,8.0,9.0,2800.0
93.0,3.0,9.0,6.0,3200.0
97.0,2.0,5.0,7.0,2600.0
102.0,6.0,7.0,10.0,2200.0
114.0,6.0,6.0,6.0,2000.0
93.0,4.0,8.0,1.0,2800.0
108.0,6.0,8.0,5.0,2400.0
79.0,4.0,7.0,6.0,2600.0
94.0,6.0,3.0,10.0,1400.0
109.0,4.0,5.0,10.0,2200.0
110.0,3.0,7.0,3.0,2800.0
99.0,4.0,6.0,5.0,2400.0
82.0,2.0,6.0,9.0,2800.0
101.0,4.0,7.0,0.0,2600.0
109.0,3.0,5.0,10.0,2400.0
91.0,4.0,7.0,10.0,2600.0
101.0,6.0,5.0,0.0,1800.0
98.0,3.0,6.0,9.0,2600.0
109.0,4.0,5.0,5.0,2200.0
119.0,3.0,9.0,4.0,3200.0
102.0,5.0,7.0,9.0,2400.0
90.0,5.0,6.0,7.0,2200.0
94.0,7.0,8.0,6.0,2200.0
99.0,4.0,8.0,9.0,2800.0
90.0,3.0,8.0,7.0,3000.0
100.0,5.0,9.0,0.0,2800.0
95.0,4.0,6.0,10.0,2400.0
90.0,4.0,6.0,0.0,2400.0
99.0,7.0,4.0,4.0,1400.0
99.0,6.0,7.0,7.0,2200.0
97.0,3.0,7.0,7.0,2800.0
108.0,2.0,7.0,6.0,3000.0
87.0,2.0,8.0,4.0,3200.0
106.0,4.0,7.0,2.0,2600.0
106.0,4.0,10.0,0.0,3200.0
100.0,2.0,5.0,5.0,2600.0
87.0,5.0,9.0,3.0,2800.0
100.0,2.0,6.0,0.0,2800.0
107.0,3.0,8.0,10.0,3000.0
100.0,6.0,4.0,10.0,1600.0
112.0,4.0,9.0,7.0,3000.0
104.0,1.0,5.0,5.0,2800.0
81.0,3.0,3.0,9.0,2000.0
122.0,7.0,5.0,4.0,1600.0
112.0,3.0,9.0,1.0,3200.0
100.0,2.0,5.0,4.0,2600.0
106.0,4.0,6.0,6.0,2400.0
98.0,3.0,8.0,5.0,3000.0
99.0,4.0,7.0,9.0,2600.0
103.0,4.0,6.0,8.0,2400.0
109.0,6.0,7.0,6.0,2200.0
96.0,5.0,7.0,2.0,2400.0
88.0,4.0,8.0,9.0,2800.0
102.0,6.0,6.0,5.0,2000.0
88.0,4.0,9.0,5.0,3000.0
106.0,2.0,6.0,9.0,2800.0
102.0,6.0,7.0,3.0,2200.0
100.0,5.0,9.0,9.0,2800.0
98.0,4.0,6.0,3.0,2400.0
91.0,6.0,6.0,5.0,2000.0
110.0,3.0,7.0,2.0,2800.0
106.0,5.0,9.0,9.0,2800.0
113.0,5.0,6.0,7.0,2200.0
110.0,3.0,10.0,6.0,3400.0
95.0,5.0,7.0,7.0,2400.0
95.0,4.0,6.0,8.0,2400.0
127.0,2.0,6.0,6.0,2800.0
94.0,7.0,8.0,8.0,2200.0
102.0,3.0,9.0,5.0,3200.0
98.0,5.0,8.0,5.0,2600.0
95.0,3.0,3.0,8.0,2000.0
103.0,4.0,7.0,9.0,2600.0
103.0,2.0,9.0,0.0,3400.0
80.0,2.0,6.0,7.0,2800.0
111.0,4.0,10.0,0.0,3200.0
110.0,3.0,4.0,10.0,2200.0
82.0,6.0,5.0,4.0,1800.0
114.0,2.0,3.0,3.0,2200.0
100.0,6.0,8.0,1.0,2400.0
91.0,2.0,5.0,4.0,2600.0
114.0,2.0,7.0,0.0,3000.0
96.0,3.0,4.0,2.0,2200.0
109.0,5.0,5.0,0.0,2000.0
105.0,5.0,7.0,3.0,2400.0
108.0,5.0,7.0,8.0,2400.0
109.0,4.0,4.0,10.0,2000.0
93.0,3.0,4.0,1.0,2200.0
87.0,4.0,3.0,3.0,1800.0
105.0,6.0,6.0,10.0,2000.0
100.0,4.0,8.0,9.0,2800.0
99.0,6.0,6.0,0.0,2000.0
99.0,6.0,5.0,9.0,1800.0
87.0,5.0,9.0,6.0,2800.0
106.0,4.0,9.0,9.0,3000.0
99.0,5.0,6.0,3.0,2200.0
106.0,5.0,10.0,2.0,3000.0
124.0,3.0,4.0,8.0,2200.0
88.0,4.0,8.0,7.0,2800.0
96.0,5.0,6.0,5.0,2200.0
102.0,4.0,7.0,0.0,2600.0
109.0,6.0,5.0,0.0,1800.0
84.0,3.0,9.0,9.0,3200.0
99.0,4.0,3.0,10.0,1800.0
101.0,4.0,10.0,5.0,3200.0
86.0,3.0,9.0,8.0,3200.0
125.0,6.0,7.0,6.0,2200.0
116.0,2.0,6.0,9.0,2800.0
99.0,4.0,7.0,10.0,2600.0
95.0,6.0,7.0,3.0,2200.0
111.0,2.0,5.0,3.0,2600.0
92.0,5.0,6.0,7.0,2200.0
106.0,5.0,7.0,1.0,2400.0
98.0,5.0,9.0,9.0,2800.0
111.0,4.0,4.0,6.0,2000.0
86.0,1.0,5.0,3.0,2800.0
101.0,4.0,6.0,8.0,2400.0
106.0,4.0,5.0,5.0,2200.0
106.0,3.0,8.0,9.0,3000.0
98.0,3.0,9.0,5.0,3200.0
81.0,5.0,3.0,4.0,1600.0
109.0,3.0,7.0,8.0,2800.0
96.0,5.0,3.0,6.0,1600.0
103.0,4.0,6.0,4.0,2400.0
110.0,2.0,6.0,2.0,2800.0
106.0,3.0,8.0,6.0,3000.0
93.0,3.0,3.0,2.0,2000.0
98.0,5.0,6.0,7.0,2200.0
98.0,5.0,4.0,8.0,1800.0
117.0,3.0,8.0,5.0,3000.0
100.0,3.0,8.0,3.0,3000.0
101.0,4.0,8.0,9.0,2800.0
104.0,4.0,6.0,1.0,2400.0
102.0,6.0,4.0,5.0,1600.0
89.0,2.0,7.0,3.0,3000.0
87.0,5.0,9.0,4.0,2800.0
98.0,2.0,6.0,5.0,2800.0
90.0,6.0,4.0,6.0,1600.0
99.0,5.0,8.0,10.0,2600.0
106.0,5.0,5.0,4.0,2000.0
104.0,2.0,9.0,6.0,3400.0
97.0,3.0,8.0,8.0,3000.0
107.0,5.0,7.0,10.0,2400.0
111.0,5.0,3.0,6.0,1600.0
100.0,4.0,9.0,6.0,3000.0
94.0,1.0,5.0,8.0,2800.0
72.0,4.0,7.0,3.0,2600.0
85.0,4.0,4.0,2.0,2000.0
102.0,3.0,5.0,9.0,2400.0
86.0,5.0,8.0,7.0,2600.0
96.0,7.0,5.0,6.0,1600.0
85.0,3.0,7.0,4.0,2800.0
90.0,4.0,7.0,6.0,2600.0
103.0,4.0,7.0,1.0,2600.0
104.0,3.0,6.0,5.0,2600.0
100.0,2.0,7.0,0.0,3000.0
91.0,5.0,4.0,6.0,1800.0
113.0,6.0,6.0,7.0,2000.0
100.0,6.0,7.0,9.0,2200.0
116.0,4.0,9.0,4.0,3000.0
120.0,5.0,6.0,7.0,2200.0
113.0,1.0,8.0,3.0,3400.0
87.0,4.0,3.0,8.0,1800.0
97.0,3.0,7.0,5.0,2800.0
77.0,3.0,6.0,3.0,2600.0
93.0,3.0,6.0,6.0,2600.0
99.0,6.0,5.0,2.0,1800.0
92.0,5.0,8.0,6.0,2600.0
105.0,3.0,5.0,4.0,2400.0
100.0,4.0,6.0,4.0,2400.0
104.0,7.0,6.0,5.0,1800.0
87.0,6.0,9.0,2.0,2600.0
99.0,7.0,4.0,5.0,1400.0
105.0,6.0,5.0,1.0,1800.0
97.0,3.0,9.0,6.0,3200.0
81.0,1.0,8.0,4.0,3400.0
112.0,3.0,8.0,7.0,3000.0
100.0,6.0,4.0,0.0,1600.0
83.0,4.0,8.0,9.0,2800.0
102.0,5.0,8.0,0.0,2600.0
108.0,4.0,8.0,8.0,2800.0
102.0,4.0,7.0,6.0,2600.0
97.0,5.0,9.0,10.0,2800.0
94.0,7.0,7.0,5.0,2000.0
92.0,6.0,3.0,4.0,1400.0
107.0,3.0,5.0,4.0,2400.0
95.0,6.0,3.0,10.0,1400.0
95.0,2.0,6.0,10.0,2800.0
109.0,3.0,8.0,0.0,3000.0
94.0,5.0,3.0,8.0,1600.0
96.0,2.0,7.0,5.0,3000.0
117.0,2.0,7.0,10.0,3000.0
91.0,3.0,4.0,10.0,2200.0
90.0,3.0,3.0,0.0,2000.0
114.0,3.0,7.0,6.0,2800.0
85.0,5.0,6.0,1.0,2200.0
110.0,3.0,7.0,5.0,2800.0
78.0,6.0,5.0,9.0,1800.0
95.0,3.0,7.0,8.0,2800.0
99.0,7.0,6.0,7.0,1800.0
79.0,3.0,5.0,8.0,2400.0
93.0,3.0,5.0,0.0,2400.0
110.0,5.0,4.0,5.0,1800.0
112.0,3.0,10.0,9.0,3400.0
106.0,5.0,7.0,8.0,2400.0
112.0,2.0,4.0,7.0,2400.0
100.0,6.0,10.0,6.0,2800.0
117.0,1.0,8.0,4.0,3400.0
97.0,5.0,9.0,10.0,2800.0
117.0,4.0,6.0,10.0,2400.0
118.0,5.0,9.0,6.0,2800.0
91.0,2.0,7.0,4.0,3000.0
105.0,2.0,6.0,9.0,2800.0
86.0,3.0,7.0,7.0,2800.0
100.0,4.0,7.0,3.0,2600.0
78.0,5.0,6.0,4.0,2200.0
78.0,6.0,9.0,7.0,2600.0
102.0,5.0,6.0,9.0,2200.0
106.0,3.0,5.0,10.0,2400.0
115.0,6.0,6.0,0.0,2000.0
119.0,2.0,6.0,1.0,2800.0
91.0,2.0,8.0,5.0,3200.0
90.0,2.0,5.0,6.0,2600.0
105.0,2.0,7.0,4.0,3000.0
97.0,6.0,5.0,8.0,1800.0
83.0,4.0,8.0,10.0,2800.0
93.0,4.0,7.0,2.0,2600.0
109.0,3.0,5.0,0.0,2400.0
114.0,3.0,7.0,4.0,2800.0
110.0,4.0,9.0,5.0,3000.0
95.0,7.0,6.0,4.0,1800.0
84.0,5.0,6.0,5.0,2200.0
114.0,2.0,7.0,0.0,3000.0
118.0,5.0,5.0,3.0,2000.0
107.0,3.0,9.0,1.0,3200.0
108.0,6.0,7.0,7.0,2200.0
89.0,2.0,6.0,7.0,2800.0
101.0,5.0,9.0,6.0,2800.0
101.0,2.0,7.0,3.0,3000.0
103.0,3.0,9.0,5.0,3200.0
110.0,3.0,4.0,2.0,2200.0
107.0,4.0,4.0,8.0,2000.0
92.0,5.0,8.0,1.0,2600.0
118.0,4.0,6.0,9.0,2400.0
103.0,3.0,7.0,7.0,2800.0
97.0,1.0,8.0,6.0,3400.0
103.0,4.0,7.0,9.0,2600.0
102.0,6.0,8.0,6.0,2400.0
93.0,5.0,6.0,2.0,2200.0
91.0,5.0,7.0,9.0,2400.0
97.0,5.0,8.0,0.0,2600.0
96.0,3.0,6.0,10.0,2600.0
95.0,5.0,4.0,6.0,1800.0
101.0,6.0,7.0,5.0,2200.0
85.0,2.0,7.0,1.0,3000.0
99.0,3.0,7.0,1.0,2800.0
111.0,4.0,7.0,9.0,2600.0
103.0,4.0,5.0,5.0,2200.0
83.0,2.0,6.0,6.0,2800.0
97.0,1.0,6.0,9.0,3000.0
91.0,5.0,9.0,3.0,2800.0
85.0,4.0,7.0,4.0,2600.0
91.0,2.0,8.0,8.0,3200.0
104.0,4.0,5.0,10.0,2200.0
106.0,2.0,7.0,4.0,3000.0
94.0,3.0,8.0,5.0,3000.0
92.0,4.0,6.0,2.0,2400.0
105.0,6.0,5.0,8.0,1800.0
111.0,3.0,8.0,1.0,3000.0
85.0,6.0,7.0,9.0,2200.0
110.0,4.0,8.0,2.0,2800.0
116.0,5.0,6.0,0.0,2200.0
99.0,5.0,7.0,4.0,2400.0
95.0,2.0,7.0,2.0,3000.0
102.0,3.0,6.0,1.0,2600.0
113.0,7.0,7.0,2.0,2000.0
102.0,4.0,8.0,4.0,2800.0
91.0,1.0,9.0,10.0,3600.0
92.0,4.0,7.0,0.0,2600.0
95.0,4.0,9.0,0.0,3000.0
105.0,6.0,8.0,8.0,2400.0
87.0,6.0,9.0,2.0,2600.0
97.0,2.0,6.0,9.0,2800.0
109.0,3.0,6.0,6.0,2600.0
108.0,2.0,10.0,1.0,3600.0
94.0,4.0,9.0,10.0,3000.0
96.0,5.0,7.0,3.0,2400.0
95.0,5.0,3.0,5.0,1600.0
121.0,4.0,7.0,2.0,2600.0
85.0,4.0,8.0,0.0,2800.0
107.0,6.0,7.0,5.0,2200.0
92.0,4.0,9.0,3.0,3000.0
112.0,2.0,7.0,8.0,3000.0
96.0,6.0,5.0,2.0,1800.0
118.0,5.0,10.0,9.0,3000.0
99.0,6.0,5.0,5.0,1800.0
103.0,7.0,9.0,8.0,2400.0
116.0,3.0,8.0,4.0,3000.0
99.0,3.0,3.0,5.0,2000.0
112.0,5.0,9.0,0.0,2800.0
91.0,6.0,8.0,9.0,2400.0
109.0,6.0,4.0,0.0,1600.0
118.0,2.0,6.0,7.0,2800.0
95.0,6.0,6.0,2.0,2000.0
89.0,5.0,7.0,7.0,2400.0
104.0,1.0,4.0,6.0,2600.0
98.0,3.0,7.0,1.0,2800.0
85.0,4.0,7.0,10.0,2600.0
105.0,5.0,7.0,9.0,2400.0
87.0,2.0,4.0,0.0,2400.0
112.0,3.0,5.0,4.0,2400.0
111.0,2.0,9.0,10.0,3400.0
107.0,6.0,6.0,6.0,2000.0
90.0,4.0,9.0,7.0,3000.0
93.0,3.0,8.0,1.0,3000.0
98.0,1.0,5.0,7.0,2800.0
82.0,4.0,7.0,0.0,2600.0
96.0,2.0,8.0,9.0,3200.0
102.0,4.0,8.0,2.0,2800.0
83.0,3.0,9.0,3.0,3200.0
103.0,3.0,5.0,5.0,2400.0
108.0,2.0,10.0,0.0,3600.0
97.0,3.0,7.0,3.0,2800.0
99.0,3.0,6.0,6.0,2600.0
107.0,4.0,7.0,5.0,2600.0
116.0,4.0,8.0,7.0,2800.0
115.0,3.0,7.0,1.0,2800.0
108.0,6.0,7.0,0.0,2200.0
100.0,5.0,4.0,0.0,1800.0
89.0,4.0,5.0,1.0,2200.0
93.0,3.0,10.0,10.0,3400.0
105.0,6.0,7.0,5.0,2200.0
102.0,3.0,8.0,1.0,3000.0
117.0,3.0,5.0,6.0,2400.0
119.0,3.0,3.0,5.0,2000.0
81.0,4.0,9.0,10.0,3000.0
112.0,5.0,7.0,9.0,2400.0
109.0,1.0,7.0,7.0,3200.0
102.0,4.0,9.0,8.0,3000.0
113.0,3.0,7.0,7.0,2800.0
109.0,3.0,5.0,3.0,2400.0
99.0,3.0,8.0,0.0,3000.0
112.0,4.0,6.0,1.0,2400.0
97.0,1.0,6.0,10.0,3000.0
98.0,4.0,8.0,7.0,2800.0
106.0,3.0,5.0,5.0,2400.0
93.0,3.0,6.0,1.0,2600.0
92.0,7.0,6.0,7.0,1800.0
107.0,4.0,8.0,10.0,2800.0
91.0,5.0,8.0,9.0,2600.0
105.0,2.0,3.0,6.0,2200.0
101.0,5.0,7.0,4.0,2400.0
113.0,5.0,9.0,2.0,2800.0
101.0,5.0,8.0,8.0,2600.0
87.0,6.0,8.0,9.0,2400.0
103.0,5.0,8.0,4.0,2600.0
110.0,3.0,9.0,8.0,3200.0
108.0,6.0,8.0,6.0,2400.0
87.0,6.0,4.0,5.0,1600.0
95.0,5.0,5.0,9.0,2000.0
82.0,4.0,6.0,5.0,2400.0
98.0,4.0,7.0,6.0,2600.0
97.0,2.0,5.0,6.0,2600.0
108.0,5.0,4.0,10.0,1800.0
88.0,2.0,3.0,2.0,2200.0
102.0,6.0,5.0,1.0,1800.0
97.0,4.0,9.0,6.0,3000.0
111.0,3.0,9.0,9.0,3200.0
