Top Speed, Age, Security Rating, Efficiency Rating, Price
109.0,3.0,6.0,8.0,7110.0
86.0,3.0,8.0,5.0,5770.0
96.0,4.0,10.0,8.0,6520.0
116.0,6.0,9.0,7.0,7190.0
95.0,4.0,10.0,5.0,6200.0
100.0,5.0,8.0,0.0,5820.0
98.0,6.0,4.0,9.0,6270.0
90.0,2.0,7.0,6.0,6120.0
101.0,5.0,4.0,5.0,6160.0
126.0,5.0,8.0,6.0,7660.0
104.0,7.0,7.0,6.0,6320.0
88.0,4.0,4.0,2.0,5340.0
88.0,3.0,9.0,10.0,6360.0
90.0,7.0,8.0,4.0,5480.0
97.0,6.0,8.0,10.0,6470.0
92.0,4.0,9.0,10.0,6460.0
101.0,5.0,8.0,2.0,6050.0
96.0,4.0,7.0,3.0,5950.0
101.0,3.0,5.0,10.0,6850.0
95.0,5.0,5.0,6.0,5990.0
91.0,4.0,3.0,10.0,6170.0
95.0,2.0,7.0,10.0,6730.0
110.0,2.0,6.0,3.0,6810.0
101.0,2.0,3.0,10.0,6870.0
102.0,6.0,7.0,7.0,6410.0
108.0,5.0,9.0,3.0,6530.0
99.0,3.0,6.0,6.0,6430.0
113.0,4.0,7.0,2.0,6710.0
98.0,5.0,4.0,2.0,5740.0
99.0,6.0,5.0,10.0,6450.0
90.0,5.0,7.0,0.0,5280.0
89.0,2.0,6.0,4.0,5850.0
109.0,3.0,7.0,7.0,7060.0
90.0,2.0,4.0,5.0,5910.0
87.0,6.0,6.0,5.0,5440.0
101.0,6.0,7.0,10.0,6630.0
97.0,6.0,7.0,3.0,5800.0
96.0,3.0,6.0,5.0,6190.0
104.0,5.0,8.0,1.0,6110.0
102.0,6.0,4.0,4.0,6020.0
105.0,2.0,6.0,9.0,7100.0
80.0,2.0,5.0,6.0,5540.0
122.0,5.0,8.0,7.0,7550.0
92.0,6.0,7.0,5.0,5730.0
103.0,1.0,7.0,7.0,6960.0
112.0,3.0,3.0,10.0,7320.0
97.0,4.0,5.0,0.0,5650.0
109.0,2.0,4.0,3.0,6680.0
96.0,6.0,10.0,3.0,5870.0
102.0,4.0,5.0,8.0,6620.0
117.0,4.0,9.0,0.0,6810.0
86.0,2.0,3.0,4.0,5580.0
89.0,4.0,7.0,4.0,5690.0
98.0,6.0,7.0,3.0,5850.0
118.0,6.0,7.0,1.0,6670.0
107.0,3.0,6.0,2.0,6470.0
104.0,3.0,7.0,10.0,7080.0
105.0,2.0,9.0,5.0,6860.0
107.0,4.0,6.0,6.0,6730.0
95.0,2.0,10.0,8.0,6670.0
105.0,3.0,8.0,7.0,6900.0
101.0,5.0,6.0,0.0,5790.0
100.0,2.0,4.0,1.0,6050.0
102.0,6.0,8.0,5.0,6270.0
86.0,6.0,9.0,9.0,5870.0
93.0,3.0,8.0,5.0,6120.0
102.0,5.0,8.0,0.0,5920.0
90.0,2.0,4.0,9.0,6270.0
107.0,4.0,5.0,1.0,6240.0
97.0,4.0,3.0,4.0,5930.0
80.0,5.0,7.0,4.0,5140.0
101.0,4.0,5.0,1.0,5940.0
113.0,4.0,6.0,4.0,6850.0
102.0,5.0,8.0,5.0,6370.0
93.0,2.0,8.0,1.0,5860.0
93.0,7.0,10.0,7.0,5980.0
104.0,5.0,7.0,8.0,6700.0
88.0,4.0,3.0,10.0,6020.0
78.0,7.0,6.0,1.0,4530.0
101.0,6.0,8.0,4.0,6130.0
98.0,4.0,10.0,4.0,6260.0
104.0,3.0,6.0,4.0,6500.0
99.0,7.0,6.0,0.0,5490.0
97.0,2.0,4.0,10.0,6710.0
101.0,5.0,6.0,10.0,6690.0
96.0,1.0,4.0,6.0,6400.0
104.0,2.0,7.0,10.0,7180.0
95.0,3.0,7.0,10.0,6630.0
95.0,6.0,5.0,9.0,6160.0
95.0,7.0,5.0,8.0,5970.0
97.0,1.0,3.0,0.0,5870.0
110.0,4.0,6.0,4.0,6700.0
97.0,3.0,7.0,4.0,6190.0
96.0,4.0,5.0,3.0,5870.0
75.0,5.0,7.0,8.0,5250.0
104.0,4.0,7.0,2.0,6260.0
77.0,2.0,7.0,2.0,5110.0
106.0,2.0,5.0,3.0,6570.0
101.0,4.0,7.0,7.0,6560.0
86.0,5.0,7.0,10.0,5980.0
115.0,1.0,7.0,4.0,7290.0
114.0,2.0,7.0,9.0,7590.0
97.0,5.0,6.0,2.0,5770.0
98.0,5.0,5.0,5.0,6050.0
87.0,4.0,7.0,8.0,5950.0
93.0,5.0,7.0,1.0,5520.0
96.0,4.0,7.0,5.0,6130.0
90.0,4.0,7.0,7.0,6010.0
107.0,4.0,5.0,5.0,6600.0
103.0,5.0,5.0,9.0,6660.0
93.0,4.0,5.0,10.0,6350.0
84.0,6.0,6.0,8.0,5560.0
98.0,3.0,5.0,9.0,6610.0
104.0,4.0,7.0,1.0,6170.0
109.0,5.0,7.0,2.0,6410.0
94.0,3.0,5.0,4.0,5960.0
100.0,2.0,6.0,6.0,6580.0
104.0,5.0,6.0,9.0,6750.0
93.0,5.0,10.0,10.0,6450.0
108.0,6.0,7.0,2.0,6260.0
99.0,1.0,6.0,8.0,6810.0
102.0,6.0,8.0,4.0,6180.0
97.0,7.0,6.0,3.0,5660.0
103.0,1.0,5.0,5.0,6700.0
102.0,5.0,7.0,2.0,6060.0
106.0,4.0,6.0,0.0,6140.0
84.0,2.0,8.0,1.0,5410.0
103.0,1.0,7.0,10.0,7230.0
96.0,4.0,6.0,1.0,5730.0
101.0,3.0,10.0,3.0,6420.0
88.0,3.0,4.0,4.0,5620.0
105.0,5.0,4.0,1.0,6000.0
100.0,5.0,7.0,7.0,6410.0
95.0,5.0,6.0,7.0,6120.0
112.0,4.0,8.0,2.0,6700.0
111.0,5.0,7.0,2.0,6510.0
94.0,3.0,6.0,6.0,6180.0
94.0,1.0,8.0,5.0,6370.0
115.0,6.0,8.0,2.0,6650.0
107.0,6.0,7.0,6.0,6570.0
85.0,3.0,6.0,5.0,5640.0
84.0,1.0,8.0,5.0,5870.0
110.0,4.0,6.0,7.0,6970.0
96.0,6.0,4.0,0.0,5360.0
96.0,3.0,8.0,2.0,6000.0
74.0,4.0,6.0,8.0,5260.0
101.0,4.0,4.0,7.0,6440.0
101.0,1.0,8.0,9.0,7080.0
102.0,3.0,8.0,8.0,6840.0
110.0,3.0,6.0,8.0,7160.0
95.0,3.0,6.0,0.0,5690.0
89.0,3.0,7.0,1.0,5520.0
90.0,5.0,6.0,1.0,5330.0
116.0,6.0,3.0,10.0,7220.0
88.0,3.0,6.0,8.0,6060.0
91.0,4.0,6.0,0.0,5390.0
98.0,2.0,7.0,2.0,6160.0
105.0,4.0,7.0,6.0,6670.0
117.0,4.0,7.0,7.0,7360.0
97.0,4.0,6.0,0.0,5690.0
94.0,5.0,6.0,5.0,5890.0
88.0,4.0,7.0,6.0,5820.0
87.0,6.0,8.0,3.0,5340.0
123.0,7.0,7.0,0.0,6730.0
105.0,6.0,6.0,8.0,6610.0
